Sr. No.,Ticker,Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
49,TSLA,2022-07-27,274.82,2022-08-10,294.36,7.11
50,TSLA,2022-08-12,300.03,2022-08-26,288.09,-3.98
51,TSLA,2022-09-07,283.7,2022-09-21,300.8,6.03
52,TSLA,2022-09-27,282.94,2022-10-11,216.5,-23.48
53,TSLA,2022-10-13,221.72,2022-10-27,225.09,1.52
54,TSLA,2022-11-10,190.72,2022-11-25,182.86,-4.12
55,TSLA,2022-11-30,194.7,2022-12-14,156.8,-19.47
56,TSLA,2022-12-28,112.71,2023-01-12,123.56,9.63
57,TSLA,2023-01-17,131.49,2023-01-31,173.22,31.74
58,TSLA,2023-02-01,181.41,2023-02-15,214.24,18.1
59,TSLA,2023-02-17,208.31,2023-03-06,193.81,-6.96
60,TSLA,2023-03-14,183.26,2023-03-28,189.19,3.24
61,TSLA,2023-03-29,193.88,2023-04-13,185.9,-4.12
62,TSLA,2023-04-27,160.19,2023-05-11,172.08,7.42
63,TSLA,2023-05-17,173.86,2023-06-01,207.52,19.36
64,TSLA,2023-06-02,213.97,2023-06-16,260.54,21.76
65,TSLA,2023-06-20,274.45,2023-07-05,282.48,2.93
66,TSLA,2023-07-13,277.9,2023-07-27,255.71,-7.98
67,TSLA,2023-07-28,266.44,2023-08-11,242.65,-8.93
68,TSLA,2023-08-21,231.28,2023-09-05,256.49,10.9
69,TSLA,2023-09-11,273.58,2023-09-25,246.99,-9.72
70,TSLA,2023-09-28,246.38,2023-10-12,258.87,5.07
71,TSLA,2023-10-24,216.52,2023-11-07,222.18,2.61
72,TSLA,2023-11-10,214.65,2023-11-27,236.08,9.98
73,TSLA,2023-11-28,246.72,2023-12-12,237.01,-3.94
74,TSLA,2023-12-14,251.05,2023-12-29,248.48,-1.02
75,TSLA,2024-01-29,190.93,2024-02-12,188.13,-1.47
76,TSLA,2024-02-14,188.71,2024-02-29,201.88,6.98
77,TSLA,2024-03-18,173.8,2024-04-02,166.63,-4.13
78,TSLA,2024-04-08,172.98,2024-04-22,142.05,-17.88
79,TSLA,2024-04-24,162.13,2024-05-08,174.72,7.77
80,TSLA,2024-05-13,171.89,2024-05-28,176.75,2.83
81,TSLA,2024-06-12,177.29,2024-06-27,197.42,11.35
82,TSLA,2024-07-01,209.86,2024-07-16,256.56,22.25
83,TSLA,2024-07-22,251.51,2024-08-05,198.88,-20.93
84,TSLA,2024-08-08,198.84,2024-08-22,210.66,5.94
85,TSLA,2024-08-23,220.32,2024-09-09,216.27,-1.84
86,TSLA,2024-09-10,226.17,2024-09-24,254.27,12.42
87,TSLA,2024-09-27,260.46,2024-10-11,217.8,-16.38
88,TSLA,2024-10-24,260.48,2024-11-07,296.91,13.99
89,TSLA,2024-11-08,321.22,2024-11-22,352.56,9.76
90,TSLA,2024-11-29,345.16,2024-12-13,436.23,26.38
